ssGSEA score
D41_AR	14.9313573026153
D42_AR	15.0641425423024
D43_AR	14.7039709311243
D44_AR	15.0209984302539
D45_AR	15.2127234067377
D46_AR	14.7834013285184
D47_AR	15.040076290597
D48_AR	15.0686938696926
D49_AR	15.0361623371827
D50_AR	14.8865733982648
D51_AR	15.1401098761767
D52_AR	15.1686468920781
D53_AR	14.9577916283257
D54_AR	14.6838914489128
D55_AR	15.1097670179359
D56_AR	15.385016658027
D57_AR	14.6072859619687
D58_AR	15.0339259256433
D59_AR	15.1240080813788
D60_AR	15.0027467570957
D61_AR	14.9691099788535
D62_AR	14.9611176185317
D63_AR	15.0858358516362
D64_AR	14.9306795427848
D65_AR	14.9410459434169
D66_HC	15.2254640092636
D67_HC	15.6072859619687
D68_HC	15.2190704603798
D69_HC	15.3231897791073
D70_HC	15.4559884345831
D71_HC	14.9659431805589
D72_HC	14.9455462848535
D73_HC	15.0331112144933
D74_HC	15.0482857301542
D75_HC	15.3972396997708
D76_HC	15.3094115851832
D77_HC	15.1883941574074
D78_HC	15.2015198887222
D79_HC	15.1718834970429
D80_HC	15.2072668310797
