greenyellow black magenta green purple cyan brown pink blue turquoise grey
ABCA6 0.526289624119672 0.225519600290926 0.00407553145906864 0.787051831729894 0.155386269375773 0.00300570338162224 0.0127550485741159 0.535503173987683 0.93970710247498 0.450428421524898 0.922084249691476
ABCA7 0.945462972447819 0.0839277549372207 0.370108936749912 0.463802684280935 3.30747215793089e-05 0.637135058832574 0.0329228121008938 0.00349911262378949 0.00152351401330871 1.48727583770477e-05 0.0226216734541205
ABCA9 0.594821602214172 0.999926427401147 0.112671534367687 0.440513394487573 0.00821823093202384 0.384284497064048 0.198267390678045 0.14153184019827 0.102256883846406 0.0826501546064235 0.504902610534131
ABCB1 0.473278131806485 0.857818426924792 0.284912039830166 0.963126706788371 0.531632517702571 0.218034534470399 0.866793852707698 0.968821587526204 0.306047378880376 0.567523643055197 0.0243845615884196
ABCB10 0.860719270188733 0.0322968132442686 0.00538288338429178 0.334629728126777 0.194273130078277 0.151463189896176 0.151252880058031 0.744999295599919 0.533153349408546 0.668678875753724 0.703875305851473
ABCB5 0.374845447679523 0.725633855528733 0.878934462537152 0.704226448394638 0.694955529216078 0.784559604883156 0.403008519487649 0.866270209912271 0.680058692349408 0.395347234668067 0.603284357464043
ABCB6 0.0278289649549846 0.531428284069569 0.649854917594647 0.287268978245867 0.913928946048337 0.918703336824063 0.0270735488885005 0.690202722877228 0.242832154862341 0.0604866856326335 0.439366435872681
ABCB7 0.480717777994914 0.0703877912878658 0.00276548442119848 0.310544293260655 0.0130464881845398 0.102075874450632 0.00290849628465646 0.376109449674599 0.0412538720727989 0.0277705687422083 0.62519469289299
ABCB8 0.844595058026338 0.054314374505097 0.902069811625348 0.313628242291544 7.89303743745196e-05 0.0615851369111957 0.00932193894675131 3.83926961705687e-06 1.66894167696564e-08 8.81247713769006e-12 0.560042300624183
ABCB9 0.342981880801147 0.589866509981113 0.903136480357987 0.891872508024106 0.116059053789611 0.72085986020374 0.225709433615505 0.436912626557422 0.149018349775218 0.0569139299799759 0.0788554115290192
ABCC1 0.000213178250822671 0.743879962726706 0.0451760529003241 1.9584152986686e-05 1.55704922168194e-07 0.304243032241709 0.227682532506917 5.7639983201753e-08 0.000140179784598037 0.0699560821695504 0.452366232288363
ABCC10 0.321908972620032 0.134222300978709 0.951113758155184 0.476854967834782 0.000116667420275553 0.296655468502599 0.000991509371355834 0.00345293012540786 5.70607583688518e-07 1.12613373651631e-10 0.0623184435267494
ABCC13 0.626016532045269 0.0519343807197209 0.0117783086268703 0.0642234802260847 0.0491452030161416 0.925719495357567 0.737258921550856 0.559712225189742 0.671118632108858 0.523480049649297 0.0203749978312079
ABCC2 0.121086338279426 0.825493059422777 0.329082137781501 0.0424998559856433 0.0327425866263477 0.517187824356336 0.622449597378017 0.00111619585699018 0.0320158756504092 0.222209602629626 0.66337628109973
ABCC4 0.0791930951140273 0.27267042312147 0.148743467120321 0.296223535548774 0.0122675897282342 0.048678812450514 1.79223588960852e-05 0.390749247533217 0.122959650241171 0.000248440229927865 0.810376126652493
ABCC5 0.0130221874503012 0.0848314648838445 0.900961630172399 0.352199593077451 0.0201852936865116 0.748953759417865 1.89651434084755e-07 0.20329050720561 0.000323631992268293 7.77136965979481e-11 0.27466629353035
ABCC6 0.486778426329007 0.655603777527374 0.103981008862189 0.679728896031915 0.721131896592894 0.0121961815172028 0.331958710023013 0.979545424600147 0.326224477126111 0.80604443628282 0.885568663380029
ABCC9 0.0341081569121269 0.52807067208778 0.0316300840603344 0.0431240041286375 0.00697161288263683 0.365767752596906 0.729356388572306 0.106804398974119 0.245647894394763 0.64832018166156 0.129933956690337
ABCD1 0.742587436259149 0.00970601417003989 0.625552926285743 0.699160530364421 0.00883067874096762 0.92154200566014 0.00181773307360048 0.00100717303549902 0.00110281630640512 2.54249449018376e-08 0.079704033267946
ABCD2 9.02725705570158e-07 0.004904955802773 0.217601640748395 8.36588522577554e-07 0.404390476036685 0.023249203734093 1.04062511057961e-12 0.518137715466955 0.987416940128757 9.17325560880123e-05 0.561599660080254
ABCD3 0.0318632949509086 0.0611054706787598 0.00713280714787369 0.602330742452077 0.426788778363642 0.0108722335965531 0.000443888206157347 0.0313642509384265 0.898587228882236 0.365503671362873 0.600323402514799
ABCD4 0.576087508015516 0.853788913686186 0.375156387792691 0.0294590459202228 2.96656481875128e-06 0.03280620052335 0.0154814519435145 0.00045434074504763 1.4070126256256e-11 2.34833244272791e-08 0.490973369803731
ABCE1 0.19177476413747 2.58828038193221e-07 1.18826879139705e-05 0.0342083307754721 0.355529701063158 0.0206530808536784 0.871931713529953 0.0615194242363488 0.586272080573503 0.0631155249993302 0.883738214769579
ABCF1 0.0192338904281868 0.0579896150281485 0.0304532244486489 1.74807704449709e-09 5.38945148476853e-08 0.00242311817926981 0.276278982094018 0.000472028234263203 3.20156819499575e-08 0.0582181159186031 0.0916387529934433
ABCF2 0.0111069427939972 0.0368835323605404 0.217735651871273 0.670459071997498 0.0340758115426485 0.0933695828321805 5.81347913685039e-05 0.00663699584028557 1.95675578581067e-06 2.53459172826975e-12 0.388461979201226
ABCF3 0.00131730098719379 0.000943562996937881 0.00494661216991357 3.38079978833658e-15 1.8733586985389e-06 0.00331892302294409 0.0564601522582755 0.000535659656078011 5.57693354808934e-07 0.419342628805762 0.645287119233834
ABCG1 2.08531417701705e-05 0.0641457837603336 0.127319373613664 5.66978771053511e-05 0.0531174306201746 0.0664039825296528 0.00153643953115637 0.00541060981434536 0.143714337676908 0.287291643360087 0.200017707553592
ABCG2 0.682563403802486 0.817357519762563 0.414972975729872 0.61472301907766 0.783967519036188 0.272613496931506 0.801388510894121 0.882276952592211 0.215306628632319 0.410197372253405 0.985357721685578
ABHD1 0.226339100858507 0.922730407449674 0.81660874467177 0.243573859351421 0.302699639045683 0.566687703666801 0.431701958782858 0.686295148624523 0.504125521482933 0.934788305528663 0.576287421707761
