greenyellow black magenta green purple cyan brown pink blue turquoise grey
ABCD4 -0.0911076797373947 -0.0300856524468766 0.144058938116801 0.344566332562735 0.664211302649068 0.338194875192557 0.380332623006085 0.528602788573151 0.838775848773806 0.75117176745364 0.112113772165697
ABCE1 0.210749243305396 0.711947388130825 0.63262638442562 0.335683977683634 0.150011954290125 -0.364775502513717 0.0263189748900227 -0.298320724299552 -0.0886955035227152 -0.296589770288839 -0.0238751200377213
ABCF1 0.368685070345949 0.302279420440757 0.342614126462577 0.786820581955551 0.738351317204417 0.466304910452058 -0.176380212129518 0.527305690938422 0.746476351045679 0.302017427957512 0.270289914247083
ABCF2 -0.397414476803253 -0.331118610025353 -0.1992435419123 -0.0693997505008909 0.335917636935171 0.268912122482407 0.591592691491113 0.422311979012188 0.673008769665658 0.853746053949076 0.140127848884856
ABCF3 0.490366677760789 0.502838068348417 0.435747846960716 0.898973664455012 0.67391290716593 0.453174669810767 -0.304054592021118 0.5229732412817 0.697873951832009 0.13129604320497 0.0750601892511546
ABCG1 0.618739986306862 0.29549082543677 0.245163458956523 0.592285675021092 0.30807234714862 0.293130130403285 -0.484453216007753 0.431705924845578 0.235379589941453 -0.172449999927799 -0.206983972090998
ABCG2 -0.0667066182257455 -0.0376980538068647 -0.13252261013216 0.0820530203277246 0.0447444385099849 0.177711013743286 -0.0410588436396069 -0.0241773010150416 0.20027819746622 0.133871539163564 -0.00299679523928156
ABHD1 0.195641576079924 0.0158375093795831 0.037855285565129 0.188698164451454 0.167111489165424 0.0933511827288094 -0.127865213976111 0.0658798791267886 0.10875676954091 0.0133602764176226 0.0910601470263633
ABHD10 -0.0347592776663484 0.654922416862987 0.179240927100774 0.367485513149382 -0.106993899162912 0.173308861606588 -0.218704537237303 -0.237981867616322 0.100674133109616 -0.31965294309563 -0.39857156368402
ABHD11 -0.156327178641934 0.10497487936374 0.0506687519230669 0.258486568722144 0.322207936326149 0.311047325282907 0.181669958796014 0.233609944556077 0.547672069600191 0.403471472332694 0.02979235234233
ABHD12 0.277646032839858 0.316247623624411 0.232637295587208 0.571361805830008 0.451092201297574 0.413166860572474 0.0304198888360347 0.547510688837591 0.685889805080881 0.368460086677636 -0.151945000985222
ABHD13 0.0999293319299545 0.696394458479404 0.299561379778195 0.380303553219072 -0.10071238454143 0.0625112593294076 -0.354498502770826 -0.427044119105948 -0.152095850410392 -0.545429850648057 -0.0428010190673994
ABHD14A -0.189484991078077 -0.438370331466108 -0.169638988393723 -0.0750600399428316 0.417147723038761 0.224657803795555 0.570110305584544 0.602134911658522 0.65795395729475 0.909460502359455 0.0457614960824114
